X,Y,id,YCoordinate,XCoordinate,elevation,slope,aspect,region,country,geometry,area,map_class,map_info
32.8113011509947,-13.1036082806458,892,-13.1036082806458,32.8113011509947,1046,0.00758012990822322,5.17625023131975,Eastern,Zambia,points,1,1,Closed forest
32.5280624312581,-12.4476586674031,1458,-12.4476586674031,32.5280624312581,714,0.0180035509965911,3.52659945623737,Eastern,Zambia,points,1,1,Closed forest
32.7270392039243,-12.3227928823568,1220,-12.3227928823568,32.7270392039243,879,0.017487667517795,6.03618673893814,Eastern,Zambia,points,1,1,Closed forest
32.8007010339858,-13.2665626217061,1228,-13.2665626217061,32.8007010339858,1004,0.0115744214683818,3.61341602957491,Eastern,Zambia,points,1,1,Closed forest
33.0029117406547,-12.7571281850176,1803,-12.7571281850176,33.0029117406547,0,1.#QNAN,0,0,0,points,1,1,Closed forest
33.0277950661755,-12.6893054024925,1445,-12.6893054024925,33.0277950661755,0,1.#QNAN,0,0,0,points,1,1,Closed forest
32.5515084527777,-12.4495451289038,967,-12.4495451289038,32.5515084527777,724,0.0184674191436009,3.64873950821116,Eastern,Zambia,points,1,1,Closed forest
33.0047982021563,-13.2806661672114,639,-13.2806661672114,33.0047982021563,0,1.#QNAN,0,0,0,points,1,1,Closed forest
32.6232838213376,-12.1480706147922,370,-12.1480706147922,32.6232838213376,697,0.0151471722436835,2.76905251136839,Eastern,Zambia,points,1,1,Closed forest
32.8814595525533,-13.1223830641528,30,-13.1223830641528,32.8814595525533,1045,0.00786005239242732,5.33949108840556,Eastern,Zambia,points,1,1,Closed forest
32.9114632735783,-13.0826775411381,511,-13.0826775411381,32.9114632735783,1037,0.0102687730947371,5.48800415943462,Eastern,Zambia,points,1,1,Closed forest
32.6646961428722,-13.036593981621,1689,-13.036593981621,32.6646961428722,1016,0.0297138614304136,5.2175307844359,Eastern,Zambia,points,1,1,Closed forest
32.9491026721098,-12.8938517280682,165,-12.8938517280682,32.9491026721098,1124,0.0115026017418752,2.48186880942068,Eastern,Zambia,points,1,1,Closed forest
32.8147147479975,-12.674483204987,1610,-12.674483204987,32.8147147479975,1070,0.0146911833193751,0.622241130264205,Eastern,Zambia,points,1,1,Closed forest
32.9453297491066,-12.9673338950954,16,-12.9673338950954,32.9453297491066,1079,0.00748293703228532,2.8607331889837,Eastern,Zambia,points,1,1,Closed forest
33.0371375421833,-12.6699017984853,665,-12.6699017984853,33.0371375421833,0,1.#QNAN,0,0,0,points,1,1,Closed forest
33.0795380102187,-12.6077384004623,1556,-12.6077384004623,33.0795380102187,0,1.#QNAN,0,0,0,points,1,1,Closed forest
32.7612650054529,-12.9460438295875,518,-12.9460438295875,32.7612650054529,1020,0.00816300896861328,4.15168094507277,Eastern,Zambia,points,1,1,Closed forest
33.0136016891637,-13.0950742881427,300,-13.0950742881427,33.0136016891637,0,1.#QNAN,0,0,0,points,1,1,Closed forest
32.8467845935243,-12.7653028515206,330,-12.7653028515206,32.8467845935243,1079,0.00817265405256536,3.4154882058315,Eastern,Zambia,points,1,1,Closed forest
32.8011501914862,-12.1354043732875,2068,-12.1354043732875,32.8011501914862,877,0.015227059401439,3.34206666364659,Eastern,Zambia,points,1,1,Closed forest
32.8427421760209,-12.8946602115685,1087,-12.8946602115685,32.8427421760209,1170,0.0316096408715554,5.38404051193166,Eastern,Zambia,points,1,1,Closed forest
32.6397229858513,-13.1305577306558,1912,-13.1305577306558,32.6397229858513,966,0.013767125815008,3.50104466020273,Eastern,Zambia,points,1,1,Closed forest
32.6694572123762,-13.003985147109,1097,-13.003985147109,32.6694572123762,1017,0.00271557173076069,1.15967533819167,Eastern,Zambia,points,1,1,Closed forest
32.8131876124963,-12.5789024889516,1791,-12.5789024889516,32.8131876124963,1016,0.0218743437125584,4.63790119669647,Eastern,Zambia,points,1,1,Closed forest
32.7860584994736,-12.4672419344103,1186,-12.4672419344103,32.7860584994736,984,0.0277947927935525,1.16437026711393,Eastern,Zambia,points,1,1,Closed forest
32.6302008468434,-12.5245544314315,507,-12.5245544314315,32.6302008468434,862,0.0298335473771633,1.10385117418712,Eastern,Zambia,points,1,1,Closed forest
32.6337042753463,-13.1103456431483,1330,-13.1103456431483,32.6337042753463,987,0.00719955747361987,4.75008228312916,Eastern,Zambia,points,1,1,Closed forest
32.8468744250244,-12.9838628911015,1955,-12.9838628911015,32.8468744250244,1059,0.0527079073467631,3.88512215707574,Eastern,Zambia,points,1,1,Closed forest
32.749497078943,-12.9999427296075,2053,-12.9999427296075,32.749497078943,995,0.010401102111215,0.31077843443681,Eastern,Zambia,points,1,1,Closed forest
32.9518874486121,-12.9448760200871,1634,-12.9448760200871,32.9518874486121,1083,0.0117053826541112,2.14681574329642,Eastern,Zambia,points,1,1,Closed forest
32.8319623960119,-12.4839505934165,1195,-12.4839505934165,32.8319623960119,993,0.0386055259097104,5.99686963110096,Eastern,Zambia,points,1,1,Closed forest
32.6991016074009,-13.012249645112,109,-13.012249645112,32.6991016074009,1031,0.0246134878573701,6.01593083968115,Eastern,Zambia,points,1,1,Closed forest
32.8317827330118,-12.4865557069174,1815,-12.4865557069174,32.8317827330118,993,0.0386055259097104,5.99686963110096,Eastern,Zambia,points,1,1,Closed forest
32.830884418011,-12.5004795894226,266,-12.5004795894226,32.830884418011,1047,0.0310254812900948,3.46294846652808,Eastern,Zambia,points,1,1,Closed forest
32.6724216518787,-13.0976794016436,1236,-13.0976794016436,32.6724216518787,1016,0.00587405405556325,3.25962618989039,Eastern,Zambia,points,1,1,Closed forest
